"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2015","4,253.02","4,408.98","4,526.13","4,235.70","431.72K","-4.92%"
"Jun 30, 2015","4,473.00","4,161.07","4,475.77","4,016.01","527.05K","6.71%"
"Jun 29, 2015","4,191.55","4,446.84","4,451.17","4,000.93","525.66K","-3.34%"
"Jun 26, 2015","4,336.19","4,573.87","4,650.19","4,278.68","446.64K","-7.87%"
"Jun 25, 2015","4,706.52","4,906.24","4,919.26","4,667.22","446.14K","-3.56%"
"Jun 24, 2015","4,880.13","4,811.59","4,883.73","4,744.31","434.64K","1.96%"
"Jun 23, 2015","4,786.09","4,641.42","4,786.95","4,455.33","365.09K","3.21%"
"Jun 19, 2015","4,637.05","4,847.06","4,910.45","4,634.69","358.11K","-5.95%"
"Jun 18, 2015","4,930.55","5,107.69","5,121.22","4,926.43","364.40K","-4.05%"
"Jun 17, 2015","5,138.83","5,072.31","5,158.37","4,949.29","397.12K","1.46%"
"Jun 16, 2015","5,064.82","5,165.02","5,204.30","5,015.26","411.68K","-2.99%"
"Jun 15, 2015","5,221.17","5,354.01","5,362.45","5,207.31","475.75K","-2.14%"
"Jun 12, 2015","5,335.12","5,329.28","5,351.65","5,283.09","430.13K","0.54%"
"Jun 11, 2015","5,306.59","5,305.14","5,329.30","5,248.16","392.34K","-0.05%"
"Jun 10, 2015","5,309.11","5,254.30","5,374.83","5,209.68","442.17K","-0.16%"
"Jun 09, 2015","5,317.46","5,379.47","5,380.43","5,251.21","570.43K","-0.68%"
"Jun 08, 2015","5,353.75","5,259.41","5,370.61","5,202.59","637.31K","2.36%"
"Jun 05, 2015","5,230.55","5,254.90","5,288.34","5,104.18","545.96K","0.95%"
"Jun 04, 2015","5,181.42","5,156.01","5,194.23","4,863.47","482.77K","0.74%"
"Jun 03, 2015","5,143.59","5,176.60","5,186.97","5,059.49","414.26K","-0.35%"
"Jun 02, 2015","5,161.87","5,091.27","5,162.56","5,047.08","412.97K","1.69%"
"Jun 01, 2015","5,076.18","4,862.76","5,079.32","4,835.77","417.50K","4.86%"
"May 29, 2015","4,840.83","4,839.53","4,924.30","4,665.52","427.88K","0.14%"
"May 28, 2015","4,834.01","5,174.10","5,213.18","4,831.33","571.83K","-6.71%"
"May 27, 2015","5,181.43","5,216.17","5,226.84","5,126.86","470.80K","-0.34%"
"May 26, 2015","5,198.92","5,140.80","5,199.30","5,063.15","487.95K","1.95%"
"May 25, 2015","5,099.49","4,949.11","5,099.84","4,949.11","465.74K","2.99%"
"May 22, 2015","4,951.34","4,895.93","4,951.99","4,870.60","455.85K","2.28%"
"May 21, 2015","4,840.98","4,768.69","4,841.61","4,746.03","305.06K","1.81%"
"May 20, 2015","4,754.92","4,751.57","4,843.10","4,745.21","363.18K","0.50%"
"May 19, 2015","4,731.22","4,577.64","4,740.01","4,577.64","314.79K","3.41%"
"May 18, 2015","4,575.14","4,582.06","4,623.38","4,565.06","269.18K","-0.92%"
"May 15, 2015","4,617.47","4,690.76","4,690.76","4,592.05","328.43K","-1.77%"
"May 14, 2015","4,700.78","4,717.95","4,735.28","4,670.17","337.73K","-0.37%"
"May 13, 2015","4,718.44","4,746.71","4,758.00","4,678.85","370.73K","-0.61%"
"May 12, 2015","4,747.42","4,692.12","4,748.00","4,660.02","377.05K","1.21%"
"May 11, 2015","4,690.53","4,582.09","4,690.95","4,535.15","373.84K","2.90%"
"May 08, 2015","4,558.40","4,515.55","4,559.06","4,445.59","302.41K","1.98%"
"May 07, 2015","4,470.09","4,520.82","4,546.34","4,467.46","297.76K","-1.83%"
"May 06, 2015","4,553.33","4,626.23","4,700.91","4,511.76","376.07K","-0.95%"
"May 05, 2015","4,596.84","4,785.19","4,785.19","4,572.98","460.42K","-3.99%"
"May 04, 2015","4,787.74","4,757.64","4,795.91","4,699.40","377.84K","0.80%"
"Apr 30, 2015","4,749.89","4,788.41","4,818.73","4,749.48","399.73K","-0.51%"
"Apr 29, 2015","4,774.33","4,722.90","4,797.93","4,695.79","395.06K","0.68%"
"Apr 28, 2015","4,741.86","4,811.32","4,839.08","4,703.57","608.64K","-1.37%"
"Apr 27, 2015","4,807.59","4,753.87","4,810.48","4,735.31","513.08K","2.23%"
"Apr 24, 2015","4,702.64","4,682.63","4,730.43","4,618.32","480.15K","-0.81%"
"Apr 23, 2015","4,740.89","4,764.48","4,782.04","4,693.97","497.43K","0.02%"
"Apr 22, 2015","4,739.81","4,637.06","4,740.93","4,632.59","516.21K","2.61%"
"Apr 21, 2015","4,619.16","4,520.46","4,620.06","4,504.56","490.32K","2.15%"
"Apr 20, 2015","4,521.92","4,615.03","4,671.17","4,492.60","686.44K","-1.61%"
"Apr 17, 2015","4,596.14","4,578.68","4,630.27","4,553.90","552.80K","1.83%"
"Apr 16, 2015","4,513.55","4,355.49","4,513.77","4,335.63","422.60K","3.04%"
"Apr 15, 2015","4,380.51","4,439.31","4,476.00","4,379.61","472.15K","-1.30%"
"Apr 14, 2015","4,438.18","4,432.13","4,474.35","4,385.91","434.43K","0.39%"
"Apr 13, 2015","4,421.07","4,394.05","4,432.02","4,361.59","434.15K","1.76%"
"Apr 10, 2015","4,344.42","4,249.38","4,351.69","4,231.20","348.19K","1.93%"
"Apr 09, 2015","4,262.14","4,316.96","4,332.17","4,212.61","439.70K","-0.78%"
"Apr 08, 2015","4,295.80","4,277.45","4,304.78","4,204.83","458.68K","0.84%"
"Apr 07, 2015","4,260.04","4,213.89","4,260.47","4,197.02","415.36K","2.15%"
"Apr 03, 2015","4,170.54","4,104.67","4,170.56","4,092.38","321.30K","1.11%"
"Apr 02, 2015","4,124.78","4,149.95","4,156.84","4,068.65","339.07K","0.02%"
"Apr 01, 2015","4,123.90","4,057.50","4,139.50","4,046.94","329.51K","1.79%"
"Mar 31, 2015","4,051.20","4,138.89","4,166.02","4,037.77","436.07K","-0.90%"
"Mar 30, 2015","4,088.18","3,999.02","4,101.65","3,999.02","428.30K","2.93%"
"Mar 27, 2015","3,971.70","3,957.54","3,993.03","3,932.87","298.76K","0.55%"
"Mar 26, 2015","3,950.00","3,921.74","3,992.00","3,892.88","346.76K","0.24%"
"Mar 25, 2015","3,940.41","3,961.58","3,980.72","3,913.99","379.97K","-0.82%"
"Mar 24, 2015","3,973.05","3,980.07","3,989.86","3,883.78","468.58K","0.02%"
"Mar 23, 2015","3,972.06","3,923.08","3,972.30","3,922.21","391.12K","2.04%"
"Mar 20, 2015","3,892.57","3,852.49","3,916.86","3,832.42","401.82K","1.38%"
"Mar 19, 2015","3,839.74","3,851.25","3,859.13","3,809.71","391.55K","-0.16%"
"Mar 18, 2015","3,846.05","3,769.09","3,846.05","3,763.85","415.19K","2.37%"
"Mar 17, 2015","3,757.12","3,733.96","3,762.57","3,716.81","371.63K","1.39%"
"Mar 16, 2015","3,705.67","3,641.77","3,705.74","3,621.12","275.44K","2.43%"
"Mar 13, 2015","3,617.66","3,604.67","3,641.39","3,594.74","246.87K","0.69%"
"Mar 12, 2015","3,592.84","3,557.69","3,603.34","3,536.53","265.67K","1.93%"
"Mar 11, 2015","3,524.65","3,524.57","3,568.92","3,512.22","188.95K","0.11%"
"Mar 10, 2015","3,520.61","3,523.64","3,551.20","3,511.99","194.27K","-0.48%"
"Mar 09, 2015","3,537.75","3,449.70","3,546.70","3,417.49","233.94K","1.70%"
"Mar 06, 2015","3,478.52","3,501.18","3,516.24","3,472.39","181.52K","-0.51%"
"Mar 05, 2015","3,496.34","3,513.25","3,517.08","3,467.68","217.51K","-0.98%"
"Mar 04, 2015","3,530.82","3,514.67","3,540.91","3,497.17","199.66K","0.65%"
"Mar 03, 2015","3,507.90","3,579.32","3,579.32","3,504.20","261.87K","-2.59%"
"Mar 02, 2015","3,601.26","3,603.45","3,608.69","3,566.53","248.18K","0.80%"
