Real,Predicted
3398.11,3400.4076893448832
3403.85,3391.4951692837476
3411.24,3401.3257872343065
3424.19,3406.5180011415478
3424.17,3417.728733574152
3485.66,3416.8947113275526
3480.43,3479.69733959198
3492.88,3469.3490494978428
3497.74,3482.2227822053433
3486.51,3491.63148178339
3468.75,3479.246291476488
3492.88,3463.577410449982
3533.87,3490.279279243946
3560.98,3528.281081449986
3576.17,3549.7523434460163
3574.39,3564.4363790512084
3582.27,3564.813133740425
3535.3,3575.4325915479662
3528.79,3528.565794028044
3518.76,3526.5732157844304
3553.67,3518.009468654394
3546.49,3549.9783547043803
3587.95,3538.5927459824084
3590.34,3580.1643714237216
3622.88,3581.641473069191
3668.09,3613.4587575662135
3674.72,3659.7072206974026
3646.17,3661.8929264044764
3668.83,3635.2188387680053
3666.8,3665.231344740987
3650.85,3661.5976708889007
3619.98,3642.929846894145
3659.68,3615.465688251257
3660.1,3658.6211108684543
3655.93,3653.632766211033
3653.69,3646.3390357732774
3670.81,3648.2031015968323
3658.82,3665.794821500778
3686.92,3651.5480395859477
3703.09,3680.9025296378136
3663.56,3696.0290173995495
3667.18,3653.188451305628
3729.75,3663.4353889226913
3747.88,3727.9829554343223
3728.6,3736.229315652847
3743.47,3714.981033248901
3719.56,3737.7545091211796
3705.39,3713.8307352352144
3712.19,3700.086811470985
3721.89,3709.883627758622
3737.87,3716.8250711441037
3770.38,3730.643839144707
3760.85,3762.476616164446
3727.83,3750.370510829687
3707.58,3719.32414742589
3726.79,3705.282733976841
3732.21,3726.0074970453975
3731.04,3726.5325976556537
3715.92,3722.834427924156
3647.35,3709.438225184679
3694.68,3642.1611652994156
3706.06,3696.9484695625306
3701.42,3702.48620408535
3721.28,3690.057164174318
3724.67,3714.98341132164
3740.99,3717.465867459774
3752.3,3733.1083538627627
3756.09,3744.7186384582524
3734.65,3747.649565999508
3795.75,3727.0666591084
3842.71,3792.0621931552887
3834.54,3833.7406814718247
3834.3,3818.445144444704
3822.09,3824.5658353865147
3830.54,3816.6602110224962
3845.62,3825.6870966124534
3857.05,3840.0962844729424
3849.45,3848.942929143906
3829.87,3840.8238982748985
3825.99,3823.165462462902
3825.65,3822.3326288580897
3837.93,3821.752075883746
3842.61,3832.3924723517894
3829.96,3835.51140894413
3831.3,3822.165982964635
3843.14,3825.937109273672
3832.12,3838.2559989488127
3842.44,3824.7236352491377
3837.82,3836.3591600060463
3837.73,3831.7832173895836
3817.79,3831.095571501255
3820.78,3811.9253224849704
3821.2,3816.550191037655
3822.54,3816.7386168700455
3836.5,3816.180709705353
3882.21,3830.4346499323847
3889.86,3875.255492925644
3902.69,3878.397989280224
3912.95,3891.7117768526077
3921.0,3905.0156364512445
3913.45,3912.7713212513927
3913.07,3905.4749080967904
3944.16,3906.785964468121
3931.25,3939.035853624344
3926.85,3922.112335824966
3930.8,3918.8230274760726
3959.4,3926.2146204185483
3976.95,3953.539527952671
